대여소 그룹,대여소 명,대여 일자 / 월,대여 건수
관악구,2128. 관악구청교차로,202102,374
관악구,2129. 낙성대 과학전시관,202102,290
관악구,2130. 영어마을 관악캠프,202102,193
관악구,2135. 신림역 5번출구,202102,687
관악구,2136. 신림역 8번출구,202102,1279
관악구,2137. KT&G 관악지점,202102,215
관악구,2139. 서울신성초등학교,202102,385
관악구,2140. 신림1교 교차로,202102,959
관악구,2141. 미림여고입구 교차로,202102,77
관악구,2143. 서울산업정보학교,202102,162
관악구,2144. 난우길입구,202102,287
관악구,2145. 은천초등학교 육교,202102,366
관악구,2148. 낙성대역 3번출구 뒤,202102,380
관악구,2156. 농협 관악문성지점,202102,431
관악구,2159. 인헌초교,202102,217
관악구,2164. 관악우체국,202102,492
관악구,2165. JK장평타워,202102,281
관악구,2167. 낙성대역 1번출구,202102,281
관악구,2169. 봉천역 2번출구,202102,461
관악구,2170. 조원동서울본병원,202102,497
관악구,2171. 서울대입구역 5번출구,202102,763
관악구,2172. 나들목공원,202102,233
관악구,2173. 당곡사거리,202102,2036
관악구,2174. 삼성디지털프라자관악점,202102,400
관악구,2175. 신림동걷고싶은문화의거리입구,202102,619
관악구,2176. 보라매공원 보도육교,202102,917
관악구,2177. 신대방역 2번 출구,202102,2862
관악구,2178. 서울대학교 정문,202102,251
관악구,2179. 양녕로 입구,202102,619
관악구,2183. 동방1교,202102,2563
관악구,2184. 구암초등학교 버스정류장,202102,117
관악구,2185. 대학동 고시촌,202102,360
관악구,2186.우리은행 낙성대역지점,202102,304
관악구,2187.현대시장사거리(신한은행),202102,596
관악구,2189.삼성서비스센터(관악점),202102,418
관악구,2190.도원맨션,202102,260
관악구,2191.대학동주민센터,202102,399
관악구,2195.은천교회,202102,367
관악구,2196.삼화페인트 봉천점,202102,255
관악구,2198.사랑의병원,202102,280
관악구,2199.신봉천주유소,202102,111
관악구,2200.관악문화원 건너편,202102,57
관악구,3306.서울신우초등학교,202102,44
관악구,3307.봉천고개 육교,202102,209
관악구,3310.영락고등학교,202102,242
관악구,3311.서울대입구역 4번 출구,202102,327
관악구,3802. 관악구민체육센터,202102,47
관악구,3804. 낙성대공원,202102,1
관악구,3806. 낙성대 교수아파트,202102,1
광진구,3500. 군자역2번출구,202102,904
광진구,3501. 광진구청 앞,202102,1092
광진구,3502. 중곡역 1번출구,202102,509
광진구,3503. 광진유진스웰,202102,119
광진구,3504. 원일교회,202102,927
광진구,3505. 신양초교앞 교차로,202102,482
광진구,3506. 영동대교 북단,202102,759
광진구,3507. 어린이회관,202102,467
광진구,3508. 화양사거리,202102,428
광진구,3509. 세종사이버대학교,202102,1088
광진구,3510. 중곡SK아파트앞,202102,315
광진구,3516. 구의아리수정수센터앞,202102,343
광진구,3517. 용마사거리,202102,943
광진구,3518. 군자역 7번출구뒤,202102,1531
광진구,3520. 광진경찰서,202102,986
광진구,3521. 현대홈타운 뒷길,202102,175
광진구,3523. 건국대학교 과학관(이과대) 앞,202102,234
광진구,3524. 세종대학교,202102,57
광진구,3528. 광진정보도서관,202102,587
광진구,3529. 어린이대공원정문,202102,327
광진구,3533. 건대입구역 사거리(롯데백화점),202102,2531
광진구,3534. 건대입구역 5번출구 뒤,202102,1354
광진구,3535. 중곡사거리(국민은행),202102,1025
광진구,3536. 중앙농협(자양동),202102,1039
광진구,3537. 아차산 휴먼시아 아파트 옆,202102,372
광진구,3541. 커먼그라운드,202102,1452
광진구,3542. 래미안 구의파크 스위트,202102,816
광진구,3543. 세종대학교(학술정보원),202102,116
광진구,3563.구의7단지현대아파트,202102,96
광진구,3564.나루마당,202102,90
광진구,3566.우성4차아파트,202102,817
광진구,3569.건대병원후문,202102,1385
광진구,3570.구의역 리버비스타 오피스텔,202102,844
광진구,3571.화양 APT(횡단보도 옆),202102,1561
광진구,3573.광나루안전체험관,202102,520
광진구,3575.자양사거리 (LG 유플러스),202102,909
광진구,3578.중곡동 파크웨이빌딩,202102,430
광진구,3579.광진 캠퍼스시티,202102,1214
광진구,3581.광진광장,202102,490
광진구,3582.화양동 우체국,202102,585
광진구,3586.군자역 비채온 오피스텔,202102,658
광진구,3587.우성식품 앞,202102,541
광진구,3588.세종대학교(영실관),202102,229
광진구,3853. 어린이대공원역 2번출구,202102,121
광진구,3860. 건국대학교 정문 앞,202102,251
광진구,3863. 동일로58길 입구,202102,108
광진구,3864. 광진소방서 앞,202102,276
광진구,3865. 이튼타워리버 2차,202102,462
광진구,3868. 자양한강도서관,202102,222
광진구,3873. 동서울우편집중국 앞,202102,244
광진구,3878. 장로회신학대학교 주기철 기념관,202102,16
광진구,500. 어린이대공원역 3번출구 앞,202102,1106
광진구,501. 광진구의회 앞,202102,681
광진구,502. 뚝섬유원지역 1번출구 앞,202102,7151
광진구,505. 자양사거리 광진아크로텔 앞,202102,1231
광진구,515. 광양중학교 앞,202102,529
광진구,516. 광진메디칼 앞,202102,592
광진구,539. 군자교교차로,202102,975
광진구,540. 군자역 7번출구 베스트샵 앞,202102,916
광진구,542. 강변역 4번출구 뒤,202102,883
광진구,543. 구의공원(테크노마트 앞),202102,679
광진구,544. 광남중학교,202102,713
