,정류소명,X좌표,Y좌표
545,서울방송고등학교.남산타운아파트,127.0124032,37.54951466
546,중구청소년수련관.남산타운2상가,127.0124254,37.55165437
547,중구청소년수련관.남산타운2상가,127.0122639,37.55175146
548,약수시장.초록마을앞,127.0107281,37.55157405
549,약수지구대,127.0121565,37.5526433
550,시청광장,126.9786406,37.56523615
551,서울역,126.9715525,37.5581582
552,서울역,126.9718191,37.55797308
553,광화문,126.9768787,37.56894385
554,덕수궁,126.9770151,37.56556298
555,남대문시장,126.9755942,37.56087347
556,명동,126.9856123,37.56080086
557,남산골한옥마을,126.9924381,37.56099103
558,앰버서더호텔,127.0026978,37.56046735
559,신라호텔,127.0055119,37.55827679
560,동대문디자인플라자.동대문시장,127.0084315,37.5669229
561,서울애니메이션센터,126.9872914,37.55850887
562,남산케이블카,126.9836407,37.55509875
563,동대문디자인프라자,127.0091027,37.56777658
564,방산.중부시장,126.9994493,37.56676393
565,을지로3가,126.9923357,37.56641507
566,을지로입구,126.9810021,37.56606685
567,명동입구,126.9822881,37.56420185
568,신당동중앙시장,127.0194187,37.56570154
569,남산오르미,126.9831016,37.55818621
570,한강대교북단.LG유플러스,126.9631731,37.52410097
571,한강대교북단.LG유플러스,126.9631384,37.52433384
572,신용산역,126.9661444,37.52728043
573,신용산역,126.9666335,37.52793675
574,KT용산지사,126.9701706,37.53153459
575,KT용산지사,126.9704504,37.53211955
576,삼각지역,126.973935,37.53531884
577,삼각지역,126.97408,37.5359959
578,숙대입구역,126.9725585,37.54329912
579,숙대입구역,126.972218,37.54375365
580,갈월동,126.9721834,37.55098259
581,갈월동,126.9716892,37.5495342
582,남영역,126.9719241,37.54202049
583,남영역,126.9716413,37.54186211
584,신용산역3번출구,126.9673239,37.52875698
585,한강대교북단,126.9640057,37.52525009
586,서계동,126.9692316,37.55245413
587,서계동,126.9692934,37.55168113
588,청파동,126.9700369,37.54880497
589,청파시장,126.969914,37.54868271
590,숙대입구역.청파동주민센터,126.9705684,37.54535516
591,숙대입구역.청파동주민센터,126.9704155,37.5454324
592,남영역,126.9708519,37.54086882
593,남영역,126.9707134,37.54057005
594,용산전자상가17동,126.9660304,37.53376181
595,용산전자상가19동,126.9654657,37.53358563
596,용산전자상가10동,126.9619675,37.5332514
597,용산전자상가12동,126.9622315,37.53315349
598,용산전자상가.전자랜드,126.9585131,37.53293333
